1.180800000000000072e+00,5.404799999999999827e+00,3.832800000000000207e+00,3.719999999999999751e+00,3.743999999999999773e+00
5.450400000000000134e+00,5.399999999999999467e+00,3.789599999999999635e+00,3.676800000000000068e+00,3.727200000000000291e+00
4.905599999999999739e+00,5.395199999999999996e+00,3.751200000000000312e+00,3.638399999999999856e+00,3.712799999999999656e+00
5.239199999999999413e+00,5.395199999999999996e+00,3.799199999999999910e+00,3.631199999999999761e+00,3.705600000000000005e+00
6.009599999999999831e+00,5.402400000000000091e+00,3.895200000000000440e+00,3.731999999999999762e+00,3.717600000000000016e+00
6.096000000000000085e+00,5.409600000000000186e+00,3.940800000000000303e+00,3.856800000000000228e+00,3.739199999999999857e+00
6.124800000000000466e+00,5.411999999999999922e+00,3.950399999999999689e+00,3.921600000000000197e+00,3.758399999999999963e+00
6.144000000000000128e+00,5.407200000000000450e+00,3.947999999999999954e+00,3.936000000000000387e+00,3.770399999999999530e+00
6.158399999999999430e+00,5.404799999999999827e+00,3.940800000000000303e+00,3.926400000000000112e+00,3.777600000000000069e+00
6.170399999999999885e+00,5.407200000000000450e+00,3.933599999999999763e+00,3.902400000000000091e+00,3.780000000000000249e+00
6.177599999999999980e+00,5.411999999999999922e+00,3.911999999999999478e+00,3.859199999999999964e+00,3.775200000000000333e+00
9.563999999999999169e-01,5.409600000000000186e+00,3.878400000000000070e+00,3.792000000000000259e+00,3.763199999999999878e+00
