0.2271041 0.2863111 0.0978347 0 0.3309398
0.1805177 0.242503 0.0812164 0 0.2676402
0.1863386 0.2602301 0.0862737 0 0.2870587
1.0615309 1.2410138 0.4343721 0 1.5115619
1.4559267 1.7196081 0.600033 0 2.0775232
2.0814149 2.4365489 0.8534838 0 3.0037849
2.4098394 2.7816179 0.9788274 0 3.4709108
2.3041012 2.648885 0.9327165 0 3.2717369
1.8425888 2.1685159 0.7576696 0 2.6405659
0.9480477 1.1096268 0.3883242 0 1.3525778
0.5885945 0.7024918 0.2439702 0 0.8294014
0.2695191 0.3440367 0.1171468 0 0.3966931
